epoch,loss,acc,val_loss,val_acc
1,3.0475,0.08613333333333333,2.8572666666666664,0.1234
2,2.7445333333333335,0.1497,3.2685333333333335,0.12123333333333335
3,2.529166666666667,0.1993,6.250566666666667,0.12123333333333335
4,2.3733666666666666,0.24596666666666667,7.123366666666667,0.12123333333333335
5,2.2155,0.30516666666666664,7.550533333333334,0.12123333333333335
6,1.9727,0.3812333333333333,7.421,0.12986666666666669
7,1.7357000000000002,0.4433,6.3123000000000005,0.14933333333333335
8,1.4625666666666666,0.5320999999999999,3.947533333333334,0.29216666666666663
9,1.2816,0.5831333333333334,3.365933333333333,0.3376666666666667
10,1.0871333333333333,0.6411666666666667,2.4071,0.4848333333333333
