epoch,loss,acc,val_loss,val_acc
1,0.9023,0.7004666666666667,0.20286666666666667,0.9505666666666667
2,0.13859999999999997,0.9542999999999999,0.064,0.9792666666666667
3,0.06913333333333334,0.9766666666666666,0.0348,0.9898333333333333
4,0.0484,0.9836666666666667,0.0265,0.9912000000000001
5,0.03366666666666667,0.9887333333333332,0.030266666666666664,0.9890333333333334
6,0.028566666666666667,0.9902333333333333,0.012066666666666665,0.9956
7,0.023966666666666664,0.9914666666666667,0.011500000000000002,0.9946666666666667
8,0.023133333333333336,0.9920666666666667,0.009966666666666667,0.995
9,0.022266666666666667,0.9923666666666667,0.0083,0.9959000000000001
10,0.018400000000000003,0.9937666666666667,0.009666666666666665,0.9957666666666668
