epoch,loss,acc,val_loss,val_acc
1,0.2782,0.9009333333333333,0.05196666666666667,0.9930666666666665
2,0.0040999999999999995,0.9988,0.011499999999999998,0.999
3,0.0012365566666666667,0.9996,0.0038,1.0
4,0.0012492033333333333,0.9996666666666666,0.0015212233333333335,1.0
5,0.0025058366666666668,0.9993,0.00251459,1.0
6,0.0016379200000000002,0.9996333333333333,0.0011311166666666667,1.0
7,0.0006264033333333334,0.9998333333333335,0.001765844,1.0
8,0.0017912533333333334,0.9994999999999999,0.00017840666666666665,1.0
9,0.00074272,0.9997333333333334,3.77647e-05,1.0
10,0.001855102,0.9996,0.00021216333333333332,1.0
