epoch,loss,acc,val_loss,val_acc
1,2.0662,0.26363333333333333,2.602866666666667,0.2703333333333333
2,1.4068666666666667,0.49546666666666667,5.742366666666666,0.2703333333333333
3,0.7937333333333333,0.7071333333333333,5.4294,0.2992333333333333
4,0.45133333333333336,0.8371333333333334,4.525066666666667,0.41466666666666674
5,0.3092333333333333,0.8914666666666666,2.1449666666666665,0.5708666666666666
6,0.2023,0.9331333333333333,1.7583333333333335,0.6456666666666667
7,0.1694,0.948,1.415,0.7270666666666666
8,0.12723333333333334,0.9632000000000001,2.4674333333333336,0.6509
9,0.11466666666666665,0.9658000000000001,1.1733,0.7532666666666666
10,0.0993,0.9697666666666667,0.8295333333333333,0.8005333333333334
